n:1 mse_avg:2.05 mse_y:2.68 mse_u:0.84 mse_v:0.74 psnr_avg:45.01 psnr_y:43.85 psnr_u:48.91 psnr_v:49.46 
n:2 mse_avg:13.92 mse_y:20.12 mse_u:1.62 mse_v:1.42 psnr_avg:36.69 psnr_y:35.09 psnr_u:46.03 psnr_v:46.62 
n:3 mse_avg:19.54 mse_y:28.43 mse_u:1.94 mse_v:1.58 psnr_avg:35.22 psnr_y:33.59 psnr_u:45.25 psnr_v:46.14 
n:4 mse_avg:3.83 mse_y:5.11 mse_u:1.42 mse_v:1.11 psnr_avg:42.30 psnr_y:41.05 psnr_u:46.62 psnr_v:47.66 
n:5 mse_avg:24.52 mse_y:35.50 mse_u:2.35 mse_v:2.75 psnr_avg:34.24 psnr_y:32.63 psnr_u:44.42 psnr_v:43.74 
n:6 mse_avg:37.84 mse_y:55.17 mse_u:3.13 mse_v:3.21 psnr_avg:32.35 psnr_y:30.71 psnr_u:43.17 psnr_v:43.06 
n:7 mse_avg:35.15 mse_y:51.51 mse_u:2.64 mse_v:2.23 psnr_avg:32.67 psnr_y:31.01 psnr_u:43.92 psnr_v:44.65 
n:8 mse_avg:58.54 mse_y:86.34 mse_u:3.12 mse_v:2.73 psnr_avg:30.46 psnr_y:28.77 psnr_u:43.18 psnr_v:43.77 
n:9 mse_avg:57.24 mse_y:84.12 mse_u:3.67 mse_v:3.25 psnr_avg:30.55 psnr_y:28.88 psnr_u:42.49 psnr_v:43.01 
n:10 mse_avg:40.89 mse_y:59.89 mse_u:3.23 mse_v:2.52 psnr_avg:32.02 psnr_y:30.36 psnr_u:43.04 psnr_v:44.11 
n:11 mse_avg:25.20 mse_y:36.48 mse_u:2.99 mse_v:2.28 psnr_avg:34.12 psnr_y:32.51 psnr_u:43.37 psnr_v:44.55 
n:12 mse_avg:39.80 mse_y:57.95 mse_u:3.76 mse_v:3.25 psnr_avg:32.13 psnr_y:30.50 psnr_u:42.38 psnr_v:43.02 
n:13 mse_avg:33.45 mse_y:48.61 mse_u:3.35 mse_v:2.90 psnr_avg:32.89 psnr_y:31.26 psnr_u:42.88 psnr_v:43.50 
n:14 mse_avg:40.69 mse_y:59.35 mse_u:3.52 mse_v:3.22 psnr_avg:32.04 psnr_y:30.40 psnr_u:42.67 psnr_v:43.05 
n:15 mse_avg:34.79 mse_y:50.76 mse_u:2.83 mse_v:2.87 psnr_avg:32.72 psnr_y:31.08 psnr_u:43.62 psnr_v:43.56 
n:16 mse_avg:23.00 mse_y:33.46 mse_u:2.12 mse_v:2.03 psnr_avg:34.51 psnr_y:32.89 psnr_u:44.86 psnr_v:45.05 
n:17 mse_avg:25.91 mse_y:37.75 mse_u:2.27 mse_v:2.19 psnr_avg:34.00 psnr_y:32.36 psnr_u:44.56 psnr_v:44.73 
n:18 mse_avg:28.55 mse_y:41.61 mse_u:2.40 mse_v:2.45 psnr_avg:33.58 psnr_y:31.94 psnr_u:44.33 psnr_v:44.24 
n:19 mse_avg:49.82 mse_y:73.03 mse_u:3.56 mse_v:3.23 psnr_avg:31.16 psnr_y:29.50 psnr_u:42.62 psnr_v:43.04 
n:20 mse_avg:58.16 mse_y:85.41 mse_u:3.94 mse_v:3.36 psnr_avg:30.48 psnr_y:28.82 psnr_u:42.18 psnr_v:42.87 
n:21 mse_avg:51.06 mse_y:74.80 mse_u:4.08 mse_v:3.10 psnr_avg:31.05 psnr_y:29.39 psnr_u:42.02 psnr_v:43.21 
n:22 mse_avg:47.71 mse_y:69.80 mse_u:4.05 mse_v:3.01 psnr_avg:31.34 psnr_y:29.69 psnr_u:42.05 psnr_v:43.34 
n:23 mse_avg:57.16 mse_y:84.08 mse_u:3.21 mse_v:3.44 psnr_avg:30.56 psnr_y:28.88 psnr_u:43.06 psnr_v:42.76 
n:24 mse_avg:72.37 mse_y:106.77 mse_u:3.45 mse_v:3.64 psnr_avg:29.54 psnr_y:27.85 psnr_u:42.75 psnr_v:42.52 
n:25 mse_avg:84.28 mse_y:124.31 mse_u:3.83 mse_v:4.60 psnr_avg:28.87 psnr_y:27.19 psnr_u:42.30 psnr_v:41.50 
n:26 mse_avg:104.26 mse_y:153.93 mse_u:4.31 mse_v:5.54 psnr_avg:27.95 psnr_y:26.26 psnr_u:41.79 psnr_v:40.69 
n:27 mse_avg:116.49 mse_y:172.03 mse_u:4.64 mse_v:6.22 psnr_avg:27.47 psnr_y:25.77 psnr_u:41.47 psnr_v:40.19 
n:28 mse_avg:98.80 mse_y:145.68 mse_u:4.08 mse_v:5.97 psnr_avg:28.18 psnr_y:26.50 psnr_u:42.02 psnr_v:40.37 
n:29 mse_avg:96.47 mse_y:142.32 mse_u:3.83 mse_v:5.71 psnr_avg:28.29 psnr_y:26.60 psnr_u:42.29 psnr_v:40.56 
n:30 mse_avg:96.45 mse_y:142.59 mse_u:3.73 mse_v:4.59 psnr_avg:28.29 psnr_y:26.59 psnr_u:42.41 psnr_v:41.51 
n:31 mse_avg:80.11 mse_y:118.45 mse_u:3.32 mse_v:3.52 psnr_avg:29.09 psnr_y:27.40 psnr_u:42.92 psnr_v:42.66 
n:32 mse_avg:80.85 mse_y:119.33 mse_u:3.79 mse_v:3.98 psnr_avg:29.05 psnr_y:27.36 psnr_u:42.35 psnr_v:42.13 
n:33 mse_avg:81.80 mse_y:120.66 mse_u:4.16 mse_v:3.99 psnr_avg:29.00 psnr_y:27.32 psnr_u:41.94 psnr_v:42.12 
n:34 mse_avg:81.52 mse_y:120.26 mse_u:4.13 mse_v:3.97 psnr_avg:29.02 psnr_y:27.33 psnr_u:41.97 psnr_v:42.14 
n:35 mse_avg:113.91 mse_y:168.19 mse_u:4.63 mse_v:6.07 psnr_avg:27.57 psnr_y:25.87 psnr_u:41.48 psnr_v:40.30 
n:36 mse_avg:142.97 mse_y:211.52 mse_u:4.95 mse_v:6.78 psnr_avg:26.58 psnr_y:24.88 psnr_u:41.18 psnr_v:39.82 
n:37 mse_avg:170.91 mse_y:252.91 mse_u:5.66 mse_v:8.13 psnr_avg:25.80 psnr_y:24.10 psnr_u:40.60 psnr_v:39.03 
n:38 mse_avg:207.25 mse_y:306.77 mse_u:6.78 mse_v:9.64 psnr_avg:24.97 psnr_y:23.26 psnr_u:39.82 psnr_v:38.29 
n:39 mse_avg:226.54 mse_y:334.78 mse_u:8.20 mse_v:11.91 psnr_avg:24.58 psnr_y:22.88 psnr_u:38.99 psnr_v:37.37 
n:40 mse_avg:217.82 mse_y:321.85 mse_u:8.13 mse_v:11.37 psnr_avg:24.75 psnr_y:23.05 psnr_u:39.03 psnr_v:37.57 
n:41 mse_avg:246.51 mse_y:364.22 mse_u:9.63 mse_v:12.53 psnr_avg:24.21 psnr_y:22.52 psnr_u:38.29 psnr_v:37.15 
n:42 mse_avg:247.56 mse_y:365.70 mse_u:9.92 mse_v:12.61 psnr_avg:24.19 psnr_y:22.50 psnr_u:38.16 psnr_v:37.12 
n:43 mse_avg:242.26 mse_y:357.91 mse_u:9.96 mse_v:11.97 psnr_avg:24.29 psnr_y:22.59 psnr_u:38.15 psnr_v:37.35 
n:44 mse_avg:234.64 mse_y:346.16 mse_u:10.66 mse_v:12.53 psnr_avg:24.43 psnr_y:22.74 psnr_u:37.85 psnr_v:37.15 
n:45 mse_avg:216.93 mse_y:320.13 mse_u:9.57 mse_v:11.53 psnr_avg:24.77 psnr_y:23.08 psnr_u:38.32 psnr_v:37.51 
n:46 mse_avg:198.26 mse_y:292.34 mse_u:8.84 mse_v:11.34 psnr_avg:25.16 psnr_y:23.47 psnr_u:38.67 psnr_v:37.58 
n:47 mse_avg:159.46 mse_y:234.63 mse_u:7.59 mse_v:10.67 psnr_avg:26.10 psnr_y:24.43 psnr_u:39.33 psnr_v:37.85 
n:48 mse_avg:151.74 mse_y:223.28 mse_u:7.08 mse_v:10.26 psnr_avg:26.32 psnr_y:24.64 psnr_u:39.63 psnr_v:38.02 
n:49 mse_avg:125.43 mse_y:184.19 mse_u:6.17 mse_v:9.67 psnr_avg:27.15 psnr_y:25.48 psnr_u:40.23 psnr_v:38.28 
n:50 mse_avg:139.95 mse_y:206.19 mse_u:6.25 mse_v:8.69 psnr_avg:26.67 psnr_y:24.99 psnr_u:40.17 psnr_v:38.74 
n:51 mse_avg:138.40 mse_y:204.15 mse_u:5.82 mse_v:8.00 psnr_avg:26.72 psnr_y:25.03 psnr_u:40.48 psnr_v:39.10 
n:52 mse_avg:125.25 mse_y:184.67 mse_u:5.57 mse_v:7.26 psnr_avg:27.15 psnr_y:25.47 psnr_u:40.67 psnr_v:39.52 
n:53 mse_avg:111.90 mse_y:165.11 mse_u:5.11 mse_v:5.86 psnr_avg:27.64 psnr_y:25.95 psnr_u:41.05 psnr_v:40.45 
n:54 mse_avg:81.02 mse_y:119.48 mse_u:4.40 mse_v:3.79 psnr_avg:29.04 psnr_y:27.36 psnr_u:41.69 psnr_v:42.34 
n:55 mse_avg:83.36 mse_y:123.10 mse_u:3.99 mse_v:3.80 psnr_avg:28.92 psnr_y:27.23 psnr_u:42.12 psnr_v:42.34 
n:56 mse_avg:86.88 mse_y:128.24 mse_u:4.29 mse_v:4.01 psnr_avg:28.74 psnr_y:27.05 psnr_u:41.80 psnr_v:42.10 
n:57 mse_avg:78.24 mse_y:115.38 mse_u:4.10 mse_v:3.81 psnr_avg:29.20 psnr_y:27.51 psnr_u:42.00 psnr_v:42.32 
n:58 mse_avg:60.16 mse_y:88.33 mse_u:3.74 mse_v:3.91 psnr_avg:30.34 psnr_y:28.67 psnr_u:42.40 psnr_v:42.20 
n:59 mse_avg:77.52 mse_y:114.18 mse_u:3.93 mse_v:4.48 psnr_avg:29.24 psnr_y:27.55 psnr_u:42.18 psnr_v:41.62 
n:60 mse_avg:78.88 mse_y:116.67 mse_u:3.53 mse_v:3.10 psnr_avg:29.16 psnr_y:27.46 psnr_u:42.65 psnr_v:43.21 
n:61 mse_avg:98.60 mse_y:145.83 mse_u:4.26 mse_v:4.01 psnr_avg:28.19 psnr_y:26.49 psnr_u:41.83 psnr_v:42.10 
n:62 mse_avg:112.65 mse_y:166.42 mse_u:5.09 mse_v:5.13 psnr_avg:27.61 psnr_y:25.92 psnr_u:41.06 psnr_v:41.03 
n:63 mse_avg:137.53 mse_y:203.06 mse_u:6.34 mse_v:6.61 psnr_avg:26.75 psnr_y:25.05 psnr_u:40.11 psnr_v:39.93 
n:64 mse_avg:136.07 mse_y:200.91 mse_u:6.26 mse_v:6.50 psnr_avg:26.79 psnr_y:25.10 psnr_u:40.17 psnr_v:40.00 
n:65 mse_avg:163.60 mse_y:241.41 mse_u:7.96 mse_v:8.03 psnr_avg:25.99 psnr_y:24.30 psnr_u:39.12 psnr_v:39.08 
n:66 mse_avg:163.25 mse_y:240.44 mse_u:8.44 mse_v:9.29 psnr_avg:26.00 psnr_y:24.32 psnr_u:38.87 psnr_v:38.45 
n:67 mse_avg:194.03 mse_y:286.22 mse_u:9.55 mse_v:9.78 psnr_avg:25.25 psnr_y:23.56 psnr_u:38.33 psnr_v:38.23 
n:68 mse_avg:203.61 mse_y:300.30 mse_u:10.18 mse_v:10.28 psnr_avg:25.04 psnr_y:23.36 psnr_u:38.05 psnr_v:38.01 
n:69 mse_avg:207.72 mse_y:305.90 mse_u:11.14 mse_v:11.59 psnr_avg:24.96 psnr_y:23.28 psnr_u:37.66 psnr_v:37.49 
n:70 mse_avg:207.67 mse_y:305.84 mse_u:11.12 mse_v:11.58 psnr_avg:24.96 psnr_y:23.28 psnr_u:37.67 psnr_v:37.50 
n:71 mse_avg:213.42 mse_y:314.54 mse_u:11.17 mse_v:11.19 psnr_avg:24.84 psnr_y:23.15 psnr_u:37.65 psnr_v:37.64 
n:72 mse_avg:210.57 mse_y:310.31 mse_u:11.06 mse_v:11.15 psnr_avg:24.90 psnr_y:23.21 psnr_u:37.69 psnr_v:37.66 
n:73 mse_avg:214.32 mse_y:315.98 mse_u:10.94 mse_v:11.07 psnr_avg:24.82 psnr_y:23.13 psnr_u:37.74 psnr_v:37.69 
n:74 mse_avg:215.45 mse_y:317.65 mse_u:11.01 mse_v:11.09 psnr_avg:24.80 psnr_y:23.11 psnr_u:37.71 psnr_v:37.68 
n:75 mse_avg:196.22 mse_y:289.16 mse_u:10.37 mse_v:10.30 psnr_avg:25.20 psnr_y:23.52 psnr_u:37.97 psnr_v:38.00 
n:76 mse_avg:180.67 mse_y:266.24 mse_u:9.66 mse_v:9.36 psnr_avg:25.56 psnr_y:23.88 psnr_u:38.28 psnr_v:38.42 
n:77 mse_avg:180.04 mse_y:265.41 mse_u:9.42 mse_v:9.19 psnr_avg:25.58 psnr_y:23.89 psnr_u:38.39 psnr_v:38.50 
n:78 mse_avg:169.32 mse_y:249.40 mse_u:8.51 mse_v:9.78 psnr_avg:25.84 psnr_y:24.16 psnr_u:38.83 psnr_v:38.23 
n:79 mse_avg:119.27 mse_y:176.02 mse_u:5.72 mse_v:5.80 psnr_avg:27.37 psnr_y:25.68 psnr_u:40.55 psnr_v:40.50 
n:80 mse_avg:132.95 mse_y:196.62 mse_u:5.56 mse_v:5.66 psnr_avg:26.89 psnr_y:25.19 psnr_u:40.68 psnr_v:40.61 
n:81 mse_avg:95.56 mse_y:141.35 mse_u:4.31 mse_v:3.66 psnr_avg:28.33 psnr_y:26.63 psnr_u:41.78 psnr_v:42.49 
n:82 mse_avg:79.93 mse_y:117.96 mse_u:4.15 mse_v:3.56 psnr_avg:29.10 psnr_y:27.41 psnr_u:41.95 psnr_v:42.61 
n:83 mse_avg:116.62 mse_y:172.25 mse_u:5.82 mse_v:4.89 psnr_avg:27.46 psnr_y:25.77 psnr_u:40.48 psnr_v:41.23 
n:84 mse_avg:120.04 mse_y:176.96 mse_u:6.50 mse_v:5.90 psnr_avg:27.34 psnr_y:25.65 psnr_u:40.00 psnr_v:40.42 
n:85 mse_avg:150.05 mse_y:221.05 mse_u:8.11 mse_v:7.97 psnr_avg:26.37 psnr_y:24.69 psnr_u:39.04 psnr_v:39.11 
n:86 mse_avg:173.03 mse_y:254.98 mse_u:9.23 mse_v:9.06 psnr_avg:25.75 psnr_y:24.07 psnr_u:38.48 psnr_v:38.56 
n:87 mse_avg:176.74 mse_y:260.28 mse_u:9.89 mse_v:9.41 psnr_avg:25.66 psnr_y:23.98 psnr_u:38.18 psnr_v:38.39 
n:88 mse_avg:184.72 mse_y:272.05 mse_u:10.43 mse_v:9.74 psnr_avg:25.47 psnr_y:23.78 psnr_u:37.95 psnr_v:38.25 
n:89 mse_avg:188.94 mse_y:278.13 mse_u:10.85 mse_v:10.27 psnr_avg:25.37 psnr_y:23.69 psnr_u:37.78 psnr_v:38.02 
n:90 mse_avg:191.79 mse_y:282.14 mse_u:11.23 mse_v:10.96 psnr_avg:25.30 psnr_y:23.63 psnr_u:37.63 psnr_v:37.73 
n:91 mse_avg:200.72 mse_y:295.46 mse_u:11.38 mse_v:11.11 psnr_avg:25.10 psnr_y:23.43 psnr_u:37.57 psnr_v:37.67 
n:92 mse_avg:211.68 mse_y:311.78 mse_u:11.74 mse_v:11.23 psnr_avg:24.87 psnr_y:23.19 psnr_u:37.44 psnr_v:37.63 
n:93 mse_avg:211.74 mse_y:311.93 mse_u:11.62 mse_v:11.09 psnr_avg:24.87 psnr_y:23.19 psnr_u:37.48 psnr_v:37.68 
n:94 mse_avg:203.19 mse_y:298.86 mse_u:11.24 mse_v:12.48 psnr_avg:25.05 psnr_y:23.38 psnr_u:37.62 psnr_v:37.17 
n:95 mse_avg:200.90 mse_y:295.99 mse_u:10.57 mse_v:10.88 psnr_avg:25.10 psnr_y:23.42 psnr_u:37.89 psnr_v:37.77 
n:96 mse_avg:190.91 mse_y:281.39 mse_u:10.01 mse_v:9.89 psnr_avg:25.32 psnr_y:23.64 psnr_u:38.13 psnr_v:38.18 
n:97 mse_avg:165.40 mse_y:243.58 mse_u:8.89 mse_v:9.22 psnr_avg:25.95 psnr_y:24.26 psnr_u:38.64 psnr_v:38.48 
n:98 mse_avg:150.20 mse_y:221.01 mse_u:8.36 mse_v:8.82 psnr_avg:26.36 psnr_y:24.69 psnr_u:38.91 psnr_v:38.68 
n:99 mse_avg:147.03 mse_y:216.52 mse_u:7.96 mse_v:8.14 psnr_avg:26.46 psnr_y:24.78 psnr_u:39.12 psnr_v:39.03 
n:100 mse_avg:142.08 mse_y:209.47 mse_u:7.27 mse_v:7.34 psnr_avg:26.61 psnr_y:24.92 psnr_u:39.51 psnr_v:39.47 
n:101 mse_avg:91.61 mse_y:135.39 mse_u:4.16 mse_v:3.95 psnr_avg:28.51 psnr_y:26.81 psnr_u:41.94 psnr_v:42.17 
n:102 mse_avg:116.94 mse_y:173.11 mse_u:4.80 mse_v:4.39 psnr_avg:27.45 psnr_y:25.75 psnr_u:41.32 psnr_v:41.71 
n:103 mse_avg:173.79 mse_y:256.89 mse_u:7.85 mse_v:7.34 psnr_avg:25.73 psnr_y:24.03 psnr_u:39.18 psnr_v:39.47 
n:104 mse_avg:192.56 mse_y:284.51 mse_u:8.91 mse_v:8.39 psnr_avg:25.29 psnr_y:23.59 psnr_u:38.63 psnr_v:38.89 
n:105 mse_avg:199.62 mse_y:294.59 mse_u:9.95 mse_v:9.40 psnr_avg:25.13 psnr_y:23.44 psnr_u:38.15 psnr_v:38.40 
n:106 mse_avg:199.63 mse_y:294.62 mse_u:9.94 mse_v:9.39 psnr_avg:25.13 psnr_y:23.44 psnr_u:38.16 psnr_v:38.40 
n:107 mse_avg:210.70 mse_y:310.67 mse_u:11.05 mse_v:10.50 psnr_avg:24.89 psnr_y:23.21 psnr_u:37.70 psnr_v:37.92 
n:108 mse_avg:216.76 mse_y:319.38 mse_u:11.88 mse_v:11.16 psnr_avg:24.77 psnr_y:23.09 psnr_u:37.38 psnr_v:37.66 
n:109 mse_avg:223.47 mse_y:329.30 mse_u:12.19 mse_v:11.45 psnr_avg:24.64 psnr_y:22.95 psnr_u:37.27 psnr_v:37.54 
n:110 mse_avg:233.20 mse_y:343.83 mse_u:12.35 mse_v:11.52 psnr_avg:24.45 psnr_y:22.77 psnr_u:37.22 psnr_v:37.52 
n:111 mse_avg:253.66 mse_y:374.39 mse_u:12.73 mse_v:11.64 psnr_avg:24.09 psnr_y:22.40 psnr_u:37.08 psnr_v:37.47 
n:112 mse_avg:261.17 mse_y:385.62 mse_u:12.87 mse_v:11.70 psnr_avg:23.96 psnr_y:22.27 psnr_u:37.03 psnr_v:37.45 
n:113 mse_avg:265.75 mse_y:392.39 mse_u:13.07 mse_v:11.87 psnr_avg:23.89 psnr_y:22.19 psnr_u:36.97 psnr_v:37.39 
n:114 mse_avg:272.57 mse_y:402.55 mse_u:13.24 mse_v:11.97 psnr_avg:23.78 psnr_y:22.08 psnr_u:36.91 psnr_v:37.35 
n:115 mse_avg:271.08 mse_y:400.32 mse_u:13.25 mse_v:11.94 psnr_avg:23.80 psnr_y:22.11 psnr_u:36.91 psnr_v:37.36 
n:116 mse_avg:268.49 mse_y:396.48 mse_u:13.13 mse_v:11.86 psnr_avg:23.84 psnr_y:22.15 psnr_u:36.95 psnr_v:37.39 
n:117 mse_avg:261.07 mse_y:385.39 mse_u:13.06 mse_v:11.81 psnr_avg:23.96 psnr_y:22.27 psnr_u:36.97 psnr_v:37.41 
n:118 mse_avg:249.02 mse_y:367.44 mse_u:12.74 mse_v:11.63 psnr_avg:24.17 psnr_y:22.48 psnr_u:37.08 psnr_v:37.47 
n:119 mse_avg:226.43 mse_y:333.71 mse_u:12.29 mse_v:11.47 psnr_avg:24.58 psnr_y:22.90 psnr_u:37.23 psnr_v:37.54 
n:120 mse_avg:222.10 mse_y:327.27 mse_u:12.12 mse_v:11.39 psnr_avg:24.67 psnr_y:22.98 psnr_u:37.30 psnr_v:37.56 
n:121 mse_avg:206.85 mse_y:305.00 mse_u:10.95 mse_v:10.15 psnr_avg:24.97 psnr_y:23.29 psnr_u:37.74 psnr_v:38.07 
n:122 mse_avg:207.04 mse_y:305.42 mse_u:10.65 mse_v:9.86 psnr_avg:24.97 psnr_y:23.28 psnr_u:37.86 psnr_v:38.19 
n:123 mse_avg:180.35 mse_y:266.21 mse_u:8.97 mse_v:8.27 psnr_avg:25.57 psnr_y:23.88 psnr_u:38.60 psnr_v:38.95 
n:124 mse_avg:146.36 mse_y:216.16 mse_u:7.17 mse_v:6.37 psnr_avg:26.48 psnr_y:24.78 psnr_u:39.58 psnr_v:40.09 
n:125 mse_avg:83.54 mse_y:123.57 mse_u:3.92 mse_v:3.06 psnr_avg:28.91 psnr_y:27.21 psnr_u:42.19 psnr_v:43.27 
n:126 mse_avg:91.25 mse_y:134.83 mse_u:4.45 mse_v:3.76 psnr_avg:28.53 psnr_y:26.83 psnr_u:41.65 psnr_v:42.38 
n:127 mse_avg:120.33 mse_y:177.71 mse_u:5.92 mse_v:5.25 psnr_avg:27.33 psnr_y:25.63 psnr_u:40.41 psnr_v:40.93 
n:128 mse_avg:147.58 mse_y:217.77 mse_u:7.55 mse_v:6.88 psnr_avg:26.44 psnr_y:24.75 psnr_u:39.35 psnr_v:39.76 
n:129 mse_avg:167.59 mse_y:246.87 mse_u:9.24 mse_v:8.78 psnr_avg:25.89 psnr_y:24.21 psnr_u:38.47 psnr_v:38.70 
n:130 mse_avg:162.36 mse_y:238.87 mse_u:9.55 mse_v:9.10 psnr_avg:26.03 psnr_y:24.35 psnr_u:38.33 psnr_v:38.54 
n:131 mse_avg:162.83 mse_y:239.04 mse_u:10.37 mse_v:10.44 psnr_avg:26.01 psnr_y:24.35 psnr_u:37.97 psnr_v:37.94 
n:132 mse_avg:187.13 mse_y:275.07 mse_u:11.29 mse_v:11.21 psnr_avg:25.41 psnr_y:23.74 psnr_u:37.60 psnr_v:37.63 
n:133 mse_avg:211.20 mse_y:310.86 mse_u:12.02 mse_v:11.75 psnr_avg:24.88 psnr_y:23.21 psnr_u:37.33 psnr_v:37.43 
n:134 mse_avg:216.84 mse_y:319.31 mse_u:12.02 mse_v:11.75 psnr_avg:24.77 psnr_y:23.09 psnr_u:37.33 psnr_v:37.43 
n:135 mse_avg:218.09 mse_y:321.45 mse_u:11.62 mse_v:11.11 psnr_avg:24.74 psnr_y:23.06 psnr_u:37.48 psnr_v:37.67 
n:136 mse_avg:221.26 mse_y:326.17 mse_u:11.70 mse_v:11.17 psnr_avg:24.68 psnr_y:23.00 psnr_u:37.45 psnr_v:37.65 
n:137 mse_avg:211.80 mse_y:312.25 mse_u:10.98 mse_v:10.86 psnr_avg:24.87 psnr_y:23.19 psnr_u:37.72 psnr_v:37.77 
n:138 mse_avg:216.88 mse_y:320.21 mse_u:10.17 mse_v:10.30 psnr_avg:24.77 psnr_y:23.08 psnr_u:38.06 psnr_v:38.00 
n:139 mse_avg:236.47 mse_y:349.16 mse_u:10.95 mse_v:11.24 psnr_avg:24.39 psnr_y:22.70 psnr_u:37.74 psnr_v:37.62 
n:140 mse_avg:258.00 mse_y:381.33 mse_u:11.18 mse_v:11.49 psnr_avg:24.01 psnr_y:22.32 psnr_u:37.65 psnr_v:37.53 
n:141 mse_avg:284.99 mse_y:421.70 mse_u:11.71 mse_v:11.42 psnr_avg:23.58 psnr_y:21.88 psnr_u:37.45 psnr_v:37.55 
