n:1 mse_avg:3.99 mse_y:5.39 mse_u:1.19 mse_v:1.14 psnr_avg:42.13 psnr_y:40.81 psnr_u:47.37 psnr_v:47.56 
n:2 mse_avg:8.10 mse_y:10.88 mse_u:2.01 mse_v:3.09 psnr_avg:39.04 psnr_y:37.76 psnr_u:45.11 psnr_v:43.23 
n:3 mse_avg:7.51 mse_y:10.39 mse_u:1.68 mse_v:1.82 psnr_avg:39.37 psnr_y:37.96 psnr_u:45.87 psnr_v:45.53 
n:4 mse_avg:4.53 mse_y:6.07 mse_u:1.50 mse_v:1.42 psnr_avg:41.57 psnr_y:40.30 psnr_u:46.38 psnr_v:46.61 
n:5 mse_avg:6.88 mse_y:9.29 mse_u:2.17 mse_v:1.98 psnr_avg:39.75 psnr_y:38.45 psnr_u:44.77 psnr_v:45.16 
n:6 mse_avg:11.83 mse_y:16.35 mse_u:3.00 mse_v:2.63 psnr_avg:37.40 psnr_y:36.00 psnr_u:43.37 psnr_v:43.92 
n:7 mse_avg:16.53 mse_y:23.09 mse_u:3.82 mse_v:2.96 psnr_avg:35.95 psnr_y:34.50 psnr_u:42.31 psnr_v:43.42 
n:8 mse_avg:28.42 mse_y:40.43 mse_u:4.95 mse_v:3.87 psnr_avg:33.59 psnr_y:32.06 psnr_u:41.19 psnr_v:42.25 
n:9 mse_avg:23.97 mse_y:34.35 mse_u:3.43 mse_v:2.99 psnr_avg:34.33 psnr_y:32.77 psnr_u:42.78 psnr_v:43.38 
n:10 mse_avg:13.77 mse_y:19.53 mse_u:2.61 mse_v:1.90 psnr_avg:36.74 psnr_y:35.22 psnr_u:43.97 psnr_v:45.34 
n:11 mse_avg:19.82 mse_y:28.29 mse_u:3.82 mse_v:1.93 psnr_avg:35.16 psnr_y:33.61 psnr_u:42.31 psnr_v:45.27 
n:12 mse_avg:30.34 mse_y:43.95 mse_u:3.85 mse_v:2.37 psnr_avg:33.31 psnr_y:31.70 psnr_u:42.28 psnr_v:44.39 
n:13 mse_avg:24.28 mse_y:35.36 mse_u:2.41 mse_v:1.86 psnr_avg:34.28 psnr_y:32.65 psnr_u:44.30 psnr_v:45.43 
n:14 mse_avg:35.91 mse_y:52.55 mse_u:2.76 mse_v:2.51 psnr_avg:32.58 psnr_y:30.93 psnr_u:43.72 psnr_v:44.14 
n:15 mse_avg:40.77 mse_y:59.70 mse_u:2.80 mse_v:3.05 psnr_avg:32.03 psnr_y:30.37 psnr_u:43.67 psnr_v:43.29 
n:16 mse_avg:27.75 mse_y:40.39 mse_u:2.34 mse_v:2.57 psnr_avg:33.70 psnr_y:32.07 psnr_u:44.43 psnr_v:44.03 
n:17 mse_avg:28.92 mse_y:42.06 mse_u:2.36 mse_v:2.92 psnr_avg:33.52 psnr_y:31.89 psnr_u:44.40 psnr_v:43.48 
n:18 mse_avg:31.88 mse_y:46.38 mse_u:2.51 mse_v:3.25 psnr_avg:33.10 psnr_y:31.47 psnr_u:44.14 psnr_v:43.01 
n:19 mse_avg:44.66 mse_y:65.19 mse_u:2.94 mse_v:4.26 psnr_avg:31.63 psnr_y:29.99 psnr_u:43.45 psnr_v:41.83 
n:20 mse_avg:53.85 mse_y:78.59 mse_u:3.57 mse_v:5.19 psnr_avg:30.82 psnr_y:29.18 psnr_u:42.60 psnr_v:40.98 
n:21 mse_avg:45.64 mse_y:66.42 mse_u:3.56 mse_v:4.59 psnr_avg:31.54 psnr_y:29.91 psnr_u:42.61 psnr_v:41.52 
n:22 mse_avg:34.09 mse_y:49.44 mse_u:3.20 mse_v:3.60 psnr_avg:32.80 psnr_y:31.19 psnr_u:43.08 psnr_v:42.56 
n:23 mse_avg:28.43 mse_y:41.09 mse_u:3.07 mse_v:3.18 psnr_avg:33.59 psnr_y:31.99 psnr_u:43.26 psnr_v:43.11 
n:24 mse_avg:31.55 mse_y:45.86 mse_u:2.71 mse_v:3.15 psnr_avg:33.14 psnr_y:31.52 psnr_u:43.81 psnr_v:43.15 
n:25 mse_avg:62.13 mse_y:90.89 mse_u:3.69 mse_v:5.52 psnr_avg:30.20 psnr_y:28.55 psnr_u:42.46 psnr_v:40.71 
