n:39 mse_avg:330.94 mse_y:491.38 mse_u:9.34 mse_v:10.78 psnr_avg:22.93 psnr_y:21.22 psnr_u:38.43 psnr_v:37.81 
n:40 mse_avg:322.47 mse_y:478.80 mse_u:9.14 mse_v:10.48 psnr_avg:23.05 psnr_y:21.33 psnr_u:38.52 psnr_v:37.93 
n:41 mse_avg:362.23 mse_y:537.05 mse_u:11.85 mse_v:13.31 psnr_avg:22.54 psnr_y:20.83 psnr_u:37.39 psnr_v:36.89 
n:42 mse_avg:381.18 mse_y:563.67 mse_u:15.84 mse_v:16.58 psnr_avg:22.32 psnr_y:20.62 psnr_u:36.13 psnr_v:35.94 
n:43 mse_avg:360.89 mse_y:532.16 mse_u:17.61 mse_v:19.08 psnr_avg:22.56 psnr_y:20.87 psnr_u:35.67 psnr_v:35.32 
n:44 mse_avg:351.16 mse_y:516.66 mse_u:19.51 mse_v:20.86 psnr_avg:22.68 psnr_y:21.00 psnr_u:35.23 psnr_v:34.94 
n:45 mse_avg:298.25 mse_y:436.72 mse_u:20.53 mse_v:22.08 psnr_avg:23.39 psnr_y:21.73 psnr_u:35.01 psnr_v:34.69 
n:46 mse_avg:276.87 mse_y:405.43 mse_u:18.70 mse_v:20.79 psnr_avg:23.71 psnr_y:22.05 psnr_u:35.41 psnr_v:34.95 
n:47 mse_avg:246.62 mse_y:361.62 mse_u:15.82 mse_v:17.41 psnr_avg:24.21 psnr_y:22.55 psnr_u:36.14 psnr_v:35.72 
n:48 mse_avg:237.55 mse_y:348.33 mse_u:15.24 mse_v:16.73 psnr_avg:24.37 psnr_y:22.71 psnr_u:36.30 psnr_v:35.90 
n:49 mse_avg:161.95 mse_y:236.75 mse_u:11.33 mse_v:13.38 psnr_avg:26.04 psnr_y:24.39 psnr_u:37.59 psnr_v:36.87 
n:50 mse_avg:169.73 mse_y:248.24 mse_u:11.73 mse_v:13.68 psnr_avg:25.83 psnr_y:24.18 psnr_u:37.44 psnr_v:36.77 
n:51 mse_avg:76.09 mse_y:109.66 mse_u:7.41 mse_v:10.47 psnr_avg:29.32 psnr_y:27.73 psnr_u:39.44 psnr_v:37.93 
n:52 mse_avg:81.12 mse_y:118.15 mse_u:5.63 mse_v:8.53 psnr_avg:29.04 psnr_y:27.41 psnr_u:40.63 psnr_v:38.82 
n:53 mse_avg:79.26 mse_y:115.45 mse_u:5.52 mse_v:8.23 psnr_avg:29.14 psnr_y:27.51 psnr_u:40.71 psnr_v:38.97 
n:54 mse_avg:56.35 mse_y:81.20 mse_u:5.92 mse_v:7.40 psnr_avg:30.62 psnr_y:29.04 psnr_u:40.41 psnr_v:39.44 
n:55 mse_avg:57.85 mse_y:83.46 mse_u:5.87 mse_v:7.40 psnr_avg:30.51 psnr_y:28.92 psnr_u:40.44 psnr_v:39.44 
n:56 mse_avg:59.62 mse_y:86.04 mse_u:6.12 mse_v:7.40 psnr_avg:30.38 psnr_y:28.78 psnr_u:40.27 psnr_v:39.44 
n:57 mse_avg:52.28 mse_y:75.95 mse_u:4.78 mse_v:5.12 psnr_avg:30.95 psnr_y:29.33 psnr_u:41.34 psnr_v:41.04 
n:58 mse_avg:46.04 mse_y:67.17 mse_u:3.93 mse_v:3.62 psnr_avg:31.50 psnr_y:29.86 psnr_u:42.19 psnr_v:42.54 
n:59 mse_avg:46.90 mse_y:68.53 mse_u:3.76 mse_v:3.55 psnr_avg:31.42 psnr_y:29.77 psnr_u:42.38 psnr_v:42.63 
n:60 mse_avg:46.84 mse_y:68.37 mse_u:3.89 mse_v:3.69 psnr_avg:31.42 psnr_y:29.78 psnr_u:42.23 psnr_v:42.46 
n:61 mse_avg:50.81 mse_y:74.30 mse_u:3.64 mse_v:3.99 psnr_avg:31.07 psnr_y:29.42 psnr_u:42.52 psnr_v:42.12 
n:62 mse_avg:75.37 mse_y:110.47 mse_u:4.92 mse_v:5.43 psnr_avg:29.36 psnr_y:27.70 psnr_u:41.21 psnr_v:40.78 
n:63 mse_avg:106.10 mse_y:155.67 mse_u:6.49 mse_v:7.41 psnr_avg:27.87 psnr_y:26.21 psnr_u:40.01 psnr_v:39.43 
