n:1 mse_avg:5.90 mse_y:7.23 mse_u:3.86 mse_v:2.59 psnr_avg:40.42 psnr_y:39.54 psnr_u:42.26 psnr_v:44.00 
n:2 mse_avg:989.03 mse_y:778.80 mse_u:2099.31 mse_v:719.66 psnr_avg:18.18 psnr_y:19.22 psnr_u:14.91 psnr_v:19.56 
n:3 mse_avg:16.95 mse_y:23.93 mse_u:3.56 mse_v:2.43 psnr_avg:35.84 psnr_y:34.34 psnr_u:42.61 psnr_v:44.28 
n:4 mse_avg:7.30 mse_y:9.50 mse_u:3.46 mse_v:2.37 psnr_avg:39.49 psnr_y:38.35 psnr_u:42.74 psnr_v:44.39 
n:5 mse_avg:55.31 mse_y:80.80 mse_u:5.14 mse_v:3.50 psnr_avg:30.70 psnr_y:29.06 psnr_u:41.02 psnr_v:42.69 
n:6 mse_avg:68.09 mse_y:99.09 mse_u:5.62 mse_v:6.56 psnr_avg:29.80 psnr_y:28.17 psnr_u:40.63 psnr_v:39.96 
n:7 mse_avg:95.83 mse_y:140.51 mse_u:6.06 mse_v:6.90 psnr_avg:28.32 psnr_y:26.65 psnr_u:40.31 psnr_v:39.74 
n:8 mse_avg:140.61 mse_y:207.44 mse_u:7.04 mse_v:6.89 psnr_avg:26.65 psnr_y:24.96 psnr_u:39.65 psnr_v:39.75 
n:9 mse_avg:155.90 mse_y:231.21 mse_u:6.39 mse_v:4.15 psnr_avg:26.20 psnr_y:24.49 psnr_u:40.08 psnr_v:41.95 
n:10 mse_avg:121.01 mse_y:179.28 mse_u:5.62 mse_v:3.32 psnr_avg:27.30 psnr_y:25.60 psnr_u:40.64 psnr_v:42.91 
n:11 mse_avg:118.89 mse_y:175.14 mse_u:7.34 mse_v:5.42 psnr_avg:27.38 psnr_y:25.70 psnr_u:39.48 psnr_v:40.79 
n:12 mse_avg:129.64 mse_y:190.33 mse_u:10.57 mse_v:5.99 psnr_avg:27.00 psnr_y:25.34 psnr_u:37.89 psnr_v:40.36 
n:13 mse_avg:88.83 mse_y:129.54 mse_u:8.36 mse_v:6.47 psnr_avg:28.65 psnr_y:27.01 psnr_u:38.91 psnr_v:40.02 
n:14 mse_avg:107.97 mse_y:158.16 mse_u:8.51 mse_v:6.68 psnr_avg:27.80 psnr_y:26.14 psnr_u:38.83 psnr_v:39.88 
n:15 mse_avg:68.02 mse_y:98.93 mse_u:7.07 mse_v:5.36 psnr_avg:29.80 psnr_y:28.18 psnr_u:39.64 psnr_v:40.84 
n:16 mse_avg:42.96 mse_y:62.15 mse_u:5.63 mse_v:3.56 psnr_avg:31.80 psnr_y:30.20 psnr_u:40.63 psnr_v:42.62 
n:17 mse_avg:27.90 mse_y:40.16 mse_u:4.04 mse_v:2.74 psnr_avg:33.67 psnr_y:32.09 psnr_u:42.07 psnr_v:43.75 
n:18 mse_avg:33.74 mse_y:48.52 mse_u:5.10 mse_v:3.29 psnr_avg:32.85 psnr_y:31.27 psnr_u:41.06 psnr_v:42.96 
n:19 mse_avg:57.07 mse_y:82.55 mse_u:6.83 mse_v:5.39 psnr_avg:30.57 psnr_y:28.96 psnr_u:39.78 psnr_v:40.81 
n:20 mse_avg:112.83 mse_y:165.69 mse_u:8.49 mse_v:5.74 psnr_avg:27.61 psnr_y:25.94 psnr_u:38.84 psnr_v:40.54 
n:21 mse_avg:128.92 mse_y:189.82 mse_u:9.41 mse_v:4.84 psnr_avg:27.03 psnr_y:25.35 psnr_u:38.39 psnr_v:41.29 
n:22 mse_avg:122.30 mse_y:179.67 mse_u:10.27 mse_v:4.84 psnr_avg:27.26 psnr_y:25.59 psnr_u:38.01 psnr_v:41.29 
n:23 mse_avg:119.61 mse_y:175.34 mse_u:10.62 mse_v:5.69 psnr_avg:27.35 psnr_y:25.69 psnr_u:37.87 psnr_v:40.58 
n:24 mse_avg:136.34 mse_y:200.90 mse_u:7.46 mse_v:6.97 psnr_avg:26.78 psnr_y:25.10 psnr_u:39.40 psnr_v:39.70 
n:25 mse_avg:154.73 mse_y:229.04 mse_u:7.22 mse_v:4.98 psnr_avg:26.24 psnr_y:24.53 psnr_u:39.55 psnr_v:41.16 
n:26 mse_avg:174.11 mse_y:257.73 mse_u:8.04 mse_v:5.67 psnr_avg:25.72 psnr_y:24.02 psnr_u:39.08 psnr_v:40.60 
n:27 mse_avg:196.69 mse_y:291.43 mse_u:8.32 mse_v:6.10 psnr_avg:25.19 psnr_y:23.49 psnr_u:38.93 psnr_v:40.28 
n:28 mse_avg:182.57 mse_y:270.33 mse_u:7.96 mse_v:6.15 psnr_avg:25.52 psnr_y:23.81 psnr_u:39.12 psnr_v:40.24 
n:29 mse_avg:152.52 mse_y:224.95 mse_u:7.48 mse_v:7.83 psnr_avg:26.30 psnr_y:24.61 psnr_u:39.39 psnr_v:39.19 
n:30 mse_avg:164.56 mse_y:243.26 mse_u:7.03 mse_v:7.28 psnr_avg:25.97 psnr_y:24.27 psnr_u:39.66 psnr_v:39.51 
n:31 mse_avg:177.05 mse_y:262.77 mse_u:6.98 mse_v:4.24 psnr_avg:25.65 psnr_y:23.94 psnr_u:39.69 psnr_v:41.86 
n:32 mse_avg:201.33 mse_y:299.08 mse_u:7.35 mse_v:4.30 psnr_avg:25.09 psnr_y:23.37 psnr_u:39.47 psnr_v:41.79 
n:33 mse_avg:181.58 mse_y:268.89 mse_u:8.08 mse_v:5.83 psnr_avg:25.54 psnr_y:23.84 psnr_u:39.06 psnr_v:40.48 
n:34 mse_avg:181.38 mse_y:268.60 mse_u:8.06 mse_v:5.85 psnr_avg:25.54 psnr_y:23.84 psnr_u:39.07 psnr_v:40.46 
n:35 mse_avg:178.93 mse_y:264.36 mse_u:9.01 mse_v:7.10 psnr_avg:25.60 psnr_y:23.91 psnr_u:38.58 psnr_v:39.62 
n:36 mse_avg:181.29 mse_y:267.63 mse_u:8.24 mse_v:8.98 psnr_avg:25.55 psnr_y:23.86 psnr_u:38.97 psnr_v:38.60 
n:37 mse_avg:162.86 mse_y:241.78 mse_u:6.10 mse_v:3.95 psnr_avg:26.01 psnr_y:24.30 psnr_u:40.28 psnr_v:42.17 
n:38 mse_avg:85.42 mse_y:125.96 mse_u:4.80 mse_v:3.90 psnr_avg:28.82 psnr_y:27.13 psnr_u:41.32 psnr_v:42.22 
n:39 mse_avg:173.18 mse_y:256.78 mse_u:6.58 mse_v:5.37 psnr_avg:25.75 psnr_y:24.04 psnr_u:39.95 psnr_v:40.83 
n:40 mse_avg:170.54 mse_y:252.11 mse_u:7.66 mse_v:7.15 psnr_avg:25.81 psnr_y:24.11 psnr_u:39.29 psnr_v:39.59 
n:41 mse_avg:174.77 mse_y:257.76 mse_u:7.79 mse_v:9.81 psnr_avg:25.71 psnr_y:24.02 psnr_u:39.21 psnr_v:38.21 
