n:1 mse_avg:2.05 mse_y:2.68 mse_u:0.84 mse_v:0.74 psnr_avg:45.02 psnr_y:43.85 psnr_u:48.91 psnr_v:49.45 
n:2 mse_avg:13.91 mse_y:20.10 mse_u:1.63 mse_v:1.42 psnr_avg:36.70 psnr_y:35.10 psnr_u:46.00 psnr_v:46.62 
n:3 mse_avg:19.60 mse_y:28.52 mse_u:1.94 mse_v:1.58 psnr_avg:35.21 psnr_y:33.58 psnr_u:45.25 psnr_v:46.14 
n:4 mse_avg:3.84 mse_y:5.12 mse_u:1.41 mse_v:1.11 psnr_avg:42.29 psnr_y:41.03 psnr_u:46.64 psnr_v:47.67 
n:5 mse_avg:24.45 mse_y:35.42 mse_u:2.33 mse_v:2.72 psnr_avg:34.25 psnr_y:32.64 psnr_u:44.46 psnr_v:43.78 
n:6 mse_avg:37.83 mse_y:55.16 mse_u:3.16 mse_v:3.22 psnr_avg:32.35 psnr_y:30.71 psnr_u:43.14 psnr_v:43.05 
n:7 mse_avg:35.22 mse_y:51.61 mse_u:2.61 mse_v:2.24 psnr_avg:32.66 psnr_y:31.00 psnr_u:43.96 psnr_v:44.63 
n:8 mse_avg:58.68 mse_y:86.57 mse_u:3.07 mse_v:2.73 psnr_avg:30.45 psnr_y:28.76 psnr_u:43.26 psnr_v:43.77 
n:9 mse_avg:57.07 mse_y:83.88 mse_u:3.68 mse_v:3.24 psnr_avg:30.57 psnr_y:28.89 psnr_u:42.47 psnr_v:43.02 
n:10 mse_avg:40.87 mse_y:59.86 mse_u:3.26 mse_v:2.51 psnr_avg:32.02 psnr_y:30.36 psnr_u:43.01 psnr_v:44.13 
n:11 mse_avg:25.23 mse_y:36.52 mse_u:3.00 mse_v:2.29 psnr_avg:34.11 psnr_y:32.51 psnr_u:43.36 psnr_v:44.53 
n:12 mse_avg:39.83 mse_y:57.99 mse_u:3.77 mse_v:3.26 psnr_avg:32.13 psnr_y:30.50 psnr_u:42.37 psnr_v:43.00 
n:13 mse_avg:33.53 mse_y:48.73 mse_u:3.35 mse_v:2.90 psnr_avg:32.88 psnr_y:31.25 psnr_u:42.89 psnr_v:43.51 
n:14 mse_avg:40.77 mse_y:59.47 mse_u:3.51 mse_v:3.22 psnr_avg:32.03 psnr_y:30.39 psnr_u:42.67 psnr_v:43.06 
n:15 mse_avg:34.79 mse_y:50.76 mse_u:2.84 mse_v:2.85 psnr_avg:32.72 psnr_y:31.08 psnr_u:43.59 psnr_v:43.58 
n:16 mse_avg:23.01 mse_y:33.46 mse_u:2.14 mse_v:2.05 psnr_avg:34.51 psnr_y:32.88 psnr_u:44.82 psnr_v:45.02 
n:17 mse_avg:25.86 mse_y:37.68 mse_u:2.27 mse_v:2.19 psnr_avg:34.00 psnr_y:32.37 psnr_u:44.58 psnr_v:44.73 
n:18 mse_avg:28.58 mse_y:41.65 mse_u:2.42 mse_v:2.46 psnr_avg:33.57 psnr_y:31.93 psnr_u:44.30 psnr_v:44.22 
n:19 mse_avg:49.81 mse_y:73.01 mse_u:3.57 mse_v:3.24 psnr_avg:31.16 psnr_y:29.50 psnr_u:42.61 psnr_v:43.03 
n:20 mse_avg:58.18 mse_y:85.44 mse_u:3.95 mse_v:3.38 psnr_avg:30.48 psnr_y:28.81 psnr_u:42.17 psnr_v:42.84 
n:21 mse_avg:51.01 mse_y:74.72 mse_u:4.05 mse_v:3.11 psnr_avg:31.05 psnr_y:29.40 psnr_u:42.05 psnr_v:43.20 
n:22 mse_avg:47.78 mse_y:69.90 mse_u:4.04 mse_v:3.01 psnr_avg:31.34 psnr_y:29.69 psnr_u:42.06 psnr_v:43.34 
n:23 mse_avg:57.34 mse_y:84.34 mse_u:3.20 mse_v:3.47 psnr_avg:30.55 psnr_y:28.87 psnr_u:43.07 psnr_v:42.72 
